A,B,C,D,E,F,G
S01,S1_M1_B39_Li_01_39_CB_ctrl,,2,0,0,0
S01,S1_M1_B39_Li_01_39_CB_res,,4,0,0,0
S01,S1_M1_B39_Li_01_39_I_res,,4,0,0,0
S01,S1_M1_B39_Li_01_39_P_res,,4,0,0,0
S01,S1_M1_B39_Li_01_39_Q_res,,4,0,0,0
S01,S1_M1_B39_Li_09_39_V_res,,4,0,0,0
S01,S1_M2_B39_Li_01_39_V_res,,4,0,0,0
S01,S1_M2_B39_Li_09_39_CB_ctrl,,2,0,0,0
S01,S1_M2_B39_Li_09_39_CB_res,,4,0,0,0
S01,S1_M2_B39_Li_09_39_I_res,,4,0,0,0
S01,S1_M2_B39_Li_09_39_P_res,,4,0,0,0
S01,S1_M2_B39_Li_09_39_Q_res,,4,0,0,0
S01,S1_M3_B39_Ld39_CB_ctrl,,2,0,0,0
S01,S1_M3_B39_Ld39_CB_res,,4,0,0,0
S01,S1_M3_B39_Ld39_P_res,,4,0,0,0
S01,S1_M3_B39_Ld39_Q_res,,4,0,0,0
S01,S1_M3_B39_Ld39_V_res,,4,0,0,0
S01,S1_M4_B39_G1_CB_ctrl,,2,0,0,0
S01,S1_M4_B39_G1_CB_res,,4,0,0,0
S01,S1_M4_B39_G1_f_res,,4,0,0,0
S01,S1_M4_B39_G1_Ld_res,,4,0,0,0
S01,S1_M4_B39_G1_P_ctrl,,4,0,0,0
S01,S1_M4_B39_G1_P_res,,4,0,0,0
S01,S1_M4_B39_G1_Q_res,,4,0,0,0
S01,S1_M4_B39_G1_V_ctrl,,4,0,0,0
S01,S1_M4_B39_G1_V_res,,4,0,0,0
S02,S2_M1_B02_Li_02_01_CB_ctrl,,2,0,0,0
S02,S2_M1_B02_Li_02_01_CB_res,,2,0,0,0
S02,S2_M1_B02_Li_02_01_I_res,,4,0,0,0
S02,S2_M1_B02_Li_02_01_P_res,,4,0,0,0
S02,S2_M1_B02_Li_02_01_Q_res,,4,0,0,0
S02,S2_M1_B02_Li_02_01_V_res,,4,0,0,0
S02,S2_M2_B02_Li_02_03_CB_ctrl,,2,0,0,0
S02,S2_M2_B02_Li_02_03_CB_res,,2,0,0,0
S02,S2_M2_B02_Li_02_03_I_res,,4,0,0,0
